city,x,y,country,iso2,admin_name,capital,z,population_proper,cluster
Sydney,22.6687051207487,-18.71889680865886,Australia,AU,New South Wales,admin,-0.10261079814596662,20.7390716814777,2
Melbourne,21.379661100751083,-17.33211966080293,Australia,AU,Victoria,admin,-0.4762895758607524,19.40011935221179,2
Brisbane,13.302387868680414,-6.4833858813205,Australia,AU,Queensland,admin,1.1714623919118843,10.063782512510592,4
Perth,12.574974244931193,-4.1082238612515445,Australia,AU,Western Australia,admin,-0.8301596492836812,8.682044824500766,4
Adelaide,8.75911528294631,-1.7943877075435224,Australia,AU,South Australia,admin,0.39279697309618694,5.482133826504638,4
Gold Coast,3.133979870779162,-2.117357957786446,Australia,AU,Queensland,,1.3245161274481005,2.651766785099412,1
Canberra,0.9484682075595494,-2.286065063646367,Australia,AU,Australian Capital Territory,primary,-0.35895237906048555,1.5473699815176332,0
Newcastle,-0.09306579524412448,-1.4037212405055277,Australia,AU,New South Wales,,-0.1399331265561138,0.5639049765463123,0
Wollongong,0.5034477032626773,-1.941377086323825,Australia,AU,New South Wales,,-0.23560505862988956,1.1503239182600349,0
Geelong,0.17454703600053775,-1.414802873747752,Australia,AU,Victoria,,-0.6472095292596954,0.7294168723169645,0
Hobart,0.2047542996695759,-1.7037354968697636,Australia,AU,Tasmania,admin,-0.5995248820737696,0.8624771430067264,0
Townsville,1.2846569910125603,0.11900597711566249,Australia,AU,Queensland,,1.2342077675114786,0.6743653157639582,1
Ipswich,1.0200124431858213,-0.1365277795306967,Australia,AU,Queensland,,1.3632256161195366,0.6070131299694155,1
Cairns,1.1841057396658807,0.320100765373435,Australia,AU,Queensland,,1.2348523377768292,0.5371947928258873,1
Toowoomba,0.9148930656593064,0.0009711961414686998,Australia,AU,Queensland,,1.3251739878133304,0.4892188956406507,1
Darwin,1.4842288470405383,0.885857533512327,Australia,AU,Northern Territory,admin,0.5537070907837641,0.4943706987204684,1
Ballarat,-0.23308398364942212,-0.9996564625840086,Australia,AU,Victoria,,-0.647392116899751,0.3295947748183616,0
Bendigo,-0.2483392312960322,-0.9860335303177089,Australia,AU,Victoria,,-0.6075041862025817,0.3168723605293547,0
Launceston,-0.3853398332670008,-1.1174693479140303,Australia,AU,Tasmania,,-0.5592342172238278,0.2813262104573291,0
Mackay,0.4452869924276518,0.7240351784801934,Australia,AU,Queensland,,1.3391309620128693,-0.0787792297141576,1
Rockhampton,0.7252941639603647,0.3493108135197551,Australia,AU,Queensland,,1.3499163774712204,0.2437270862256769,1
Maitland,-0.7739624505120258,-0.7616971086383999,Australia,AU,New South Wales,,-0.1253388186805289,-0.086414399859184,0
Bunbury,2.6969607602824204,2.7272837031983284,Australia,AU,Western Australia,,-1.9454660914431967,0.2114390104489078,3
Coffs Harbour,0.3807427200894962,0.36439644954170447,Australia,AU,New South Wales,,1.3401751908038313,0.0163074749160956,1
Bundaberg,0.6388215347518764,0.30215922379163535,Australia,AU,Queensland,,1.4146721546138143,0.2090718494682062,1
Wagga Wagga,-0.4823400998876801,-0.8823692881563667,Australia,AU,New South Wales,,-0.4036388882397798,0.1396537777268695,0
Hervey Bay,0.5532921611168301,0.344256481780492,Australia,AU,Queensland,,1.4345353839468447,0.1407857110685504,1
Shepparton,-0.5546089074058368,-0.7519101068755029,Australia,AU,Victoria,,-0.5317009159834056,0.0397423686250409,0
Albury,-0.6986038903640943,-0.6870584199604135,Australia,AU,New South Wales,,-0.4423446802551874,-0.0738512309452426,0
Port Macquarie,0.4559127675158924,0.27934799948333294,Australia,AU,New South Wales,,1.3015560679980147,0.0984178334430485,1
Pakenham,-0.5052188933103979,-0.8428188043269857,Australia,AU,Victoria,,-0.5662105576886615,0.1052653845708597,0
Tamworth,0.30439841275676577,0.5226628666672576,Australia,AU,New South Wales,,1.2110394639925293,-0.0937525988993588,1
Caloundra,0.4750838769515195,0.36586375461907034,Australia,AU,Queensland,,1.4163138627179608,0.0831948363726096,1
Orange,-0.5749688169710465,-0.8363636645693701,Australia,AU,New South Wales,,-0.270343419211132,0.0694394791102057,0
